title,media
Pete Buttigieg officially announces presidential campaign,"South Bend, Indiana (CNN) South Bend Mayor Pete Buttigieg officially launched his presidential campaign on Sunday, formally vaulting the Midwestern ..."
2020 hopeful Pete Buttigieg says he and husband planning to have a child soon,"Democratic presidential hopeful Pete Buttigieg announced that he and his husband are planning to have a child soon. Buttigieg, the mayor of South Bend, ..."
Mayor Pete Buttigieg is the hottest thing in politics. Can it last?,"Pete Buttigieg was home recently, back in the Indiana city where he was born and serves as mayor. He was at the library on Main Street, at a book signing for his ..."
'I ain't ever seen the dude' – residents of South Bend's poor neighborhoods say Democratic presidential hopeful Pete Buttigieg left them behind,"As Buttigieg's national profile rises amid his underdog bid for the Democratic presidential nomination, a closer look at his record as mayor of South Bend, ..."
The making of 'Mayor Pete': An 'aha moment' changed Buttigieg from data geek to leader with heart,"SOUTH BEND, Ind. — After Pete Buttigieg's eight years as mayor here, it's hard to say which has changed more — him or the city he's run. When Buttigieg was ..."
Why Pete Buttigieg's $7 million cash haul is even more impressive than it seems,"If you told Pete Buttigieg on January 1 that by the end of March his presidential campaign would have raised $7 million, he likely would have laughed. And that ..."
Pete Buttigieg explains why he didn’t come out until nearly his second term as South Bend mayor,"Pete Buttigieg, the 37-year-old mayor of South Bend, Indiana, hasn't yet officially announced a 2020 presidential campaign, but he's also riding a wave of ..."
Pete Buttigieg's unlikely rise as a symbol of LGBT progress,"Before South Bend, Indiana, Mayor Pete Buttigieg captured the nation's attention as a serious contender for the 2020 Democratic nomination, he was in Iowa, ..."
"Pete Buttigieg on faith, his marriage and Mike Pence","In a Q&A with Father Edward Beck, the South Bend, Indiana, mayor discusses his views on the morality of military *service*, abortion, love, marriage and being ..."
"Pete Buttigieg's not-so-secret weapon is his husband, Chasten","There are now 17 hopefuls vying for the Democratic vote to become President of the United States, but there's only one whose spouse has become a talker."
Pete Buttigieg’s Focus: Storytelling First. Policy Details Later.,"In his writings as a student and young politician, he fixated on the kind of media narratives that have propelled his 2020 campaign."
Presidential candidate Pete Buttigieg says the monthly mortgage payment on his 'one house in Indiana' is $450,In his time on the campaign trail 37-year-old presidential candidate Pete Buttigieg has emphasized his Midwestern roots. One aspect of that Midwestern lifestyle ...
Pete Buttigieg suggests national service program,Democratic presidential candidate Pete Buttigieg on Monday night advocated a form of national public *service* for all young adults as a way to create unity ...
Get to know 2020 candidate Pete Buttigieg in nine clips – video,"The 37-year-old mayor of South Bend, Indiana officially launched his run for the White House on Sunday - get to know this 2020 candidate in nine clips."
Pete Buttigieg Fired South Bend’s Black Police Chief. It Still Stings.,"Mr. Buttigieg's firing of popular black police chief Darryl Boykins unleashed a blizzard of claims, counterclaims, lawsuits and anguish in the minority community."
Pete Buttigieg’s plan to make governing great again,The most important debate in the Democratic primary is over how change happens.
The breakout star of Pete Buttigieg’s 2020 campaign? His husband Chasten,Chasten Buttigieg has gained a sizable following – and boosted his husband's campaign – with his candid social media posts about life on the trail.
Pete Buttigieg Swears Off the Lobbyist Money He Once Accepted,"Mr. Buttigieg will now refuse contributions from federal lobbyists and will return $30250 to 39 individuals, his campaign said."
Pete Buttigieg raises $1 million within four hours of 2020 campaign announcement,"Buttigieg also has used his campaign funds more sparingly than rivals, according to a recent filing from the Federal Election Commission."
Pete Buttigieg: How the presidential underdog revitalized South Bend,"South Bend mayor Pete Buttigieg, and his underdog campaign for the 2020 Democratic nomination for president, gets noticed quite a bit these days. He's fluent ..."
Pete Buttigieg is pro-Israel when Democrats are increasingly critical,Pete Buttigieg has offered pro-Israel views for at least a year. Democrats like Bernie Sanders are increasingly more pro-Palestine.
"Pete Buttigieg, a gay Christian, is driving the religious right nuts",The only Democrat talking at length about his faith in the 2020 primary also happens to be the only gay candidate in the race. And he's one of the few from a red ...
'A kind of war': Buttigieg describes struggle with sexual orientation in emotional speech,Pete Buttigieg on Sunday delved publicly and intimately into his struggle with his own sexuality in a way no other serious presidential candidate has.
Mayor Pete Buttigieg on a religious left revival,Toluse Olorunnipa on the staffing turmoil within the Department of Homeland Security. Sarah Pulliam Bailey on likely presidential candidate Pete Buttigieg's faith ...
Buttigieg record with black South Bend residents under spotlight. 'He's got some work to do.',"Heightened scrutiny of his decisions, controversies in South Bend."
Buttigieg explains controversy surrounding taped calls,"Mayor Pete Buttigieg explains why he asked Police Chief Darryl Boykins, who is black, to resign after a controversy surrounding secret phone recordings while ..."
Is Pete Buttigieg a Transformational Candidate?,One of the reasons I thought Donald Trump would win in 2016 was not just that he was focusing on the core issues roiling the middle classes (immigration and ...
Pete Buttigieg’s Language Magic Is Textbook Polyglot Mythmaking,"Pete Buttigieg, the mayor of South Bend, Indiana, and a Democratic presidential candidate, has become famous for speaking lots of languages. Depending on ..."
Buttigieg pledges to 'do better' at building more diverse following,"Washington (CNN) 2020 Democratic presidential candidate Pete Buttigieg pledged on Tuesday to do more to reach out to African-American voters, laying out ..."
Pete Buttigieg officially launches 2020 presidential campaign,"South Bend, Ind. Mayor Pete Buttigieg, a rising star in the large pool of Democratic presidential hopefuls, officially announced a 2020 presidential bid on Sunday ..."
"Which Way, Pete Buttigieg?",Can the heartland meritocrat be a traitor to his class?
LGBTQ donors help Pete Buttigieg defy 2020 expectations,"Lesbian, gay, bisexual, transgender and queer donors have helped ""Mayor Pete"" raise more than $7 million in just over two months."
Pete Buttigieg wants the FTC to fight big tech monopolies,"During his CNN town hall event last night in New Hampshire, 2020 Democratic candidate Pete Buttigieg said that, if elected president, he would work to ..."
