,doc_sentiments,documents,zone_sentiments
329,1.6306117181763324,"['Joe Biden', ' Closet Republican', ""It didn't come to me right away"", "" but finally I recognized the model for Joe Biden's unusual campaign"", "" the former president whose pitch Biden's most closely ...""]","[0, 0.8888888888888888, -0.8064516129032258, 0.7205882352941176, 0.8275862068965517]"
330,2.049486461251167,"['Joe Biden in 1987', ' ‘We (Delawareans) Were on the South’s Side in the Civil War’', 'Since entering the presidential race', "" former Vice President Joe Biden has faced repeated questions about past statements he's made criticizing school busing"", ' ...']","[0, 0, 0.4444444444444444, 1.6050420168067225, 0]"
331,0.2059610840348547,"['Biden campaign pays former Clinton and Obama speech coach the day after rough debate performance', ""Joe Biden's campaign pays a prominent"", "" longtime Democratic speech coach the day after the former vice president's widely criticized performance in the first ...""]","[0.3541666666666667, -2.189189189189189, 2.040983606557377]"
332,0.32142857142857145,"['How Joe Biden Became the Democrats’ Anti-Busing Crusader', 'With a school desegregation lawsuit roiling Delaware in the 1970s', ' Mr. Biden led an effort in the Senate to end court-ordered busing.']","[0.32142857142857145, 0, 0.0]"
333,0.6526083420471709,"['Cory Booker', "" Joe Biden Spar Over 1994 Crime Bill And 'Stop And Frisk'"", 'Former Vice President Joe Biden and Sen. Cory Booker went head-to-head over their records on criminal justice on the second night of the Democratic ...']","[0, 0.12280701754385964, 0.5298013245033113]"
334,0.4842767295597483,"['Biden', "" This is what I'm looking for in a running mate"", ""Democratic presidential candidate Joe Biden sits down with CNN's Chris Cuomo to discuss his positions on hot-button issues like immigration and health care ...""]","[0, 0, 0.4842767295597483]"
335,0.1,"['Trump Intensifies Feud With Joe Biden', 'President Donald Trump and former Vice President Joe Biden are intensifying their high-stakes duel in what amounts to a preview of the 2020 general-election ...']","[0, 0.1]"
336,-1.0203540189860298,"['Joe Biden makes campaign stop in South L.A.', 'During a campaign stop', ' former Vice President Joe Biden served breakfast to community and faith leaders in South Los Angeles.']","[-0.20930232558139536, -0.4090909090909091, -0.4019607843137255]"
337,1.7023809523809528,"['How Joe Biden would address agriculture and rural issues', 'The plan aims to make American agriculture the first in the world to achieve net-zero emissions.']","[1.535714285714286, 0.16666666666666666]"
338,-15.265734265734267,"['Sanders and Biden Fight Over Health Care', ' and It’s Personal', 'Unfortunately', ' he is sounding like Donald Trump', '” Senator Bernie Sanders said of Joe Biden', ' as the two Democratic candidates spar over one of the most ...']","[0, 0, -15.53846153846154, 0.2727272727272727, 0, 0]"
339,0.675642594859241,"[""'That's Not Hyperbole!'"", "" A Guide to Joe Biden's Favorite Sayings"", 'During his decades in public office', ' Former Vice President Joseph R. Biden Jr. developed a unique set of phrases', ' dubbed “Bidenisms” by his close observers.']","[0, 0, 0, 0.21052631578947367, 0.46511627906976744]"
340,0.534957627118644,"[""New details revealed about Biden's busing record"", ' Why was he so strongly opposed?', 'Biden ""will not allow anyone or anything to stop him from getting the word home ... that he is the anti-busing messiah', '"" an aide to Sen. Birch Bayh told his boss in ...']","[0.1875, 0.0, 0.34745762711864403, 0]"
341,2.8358684994323293,"['Joe Biden', ' A theater critic reviews his performance style', 'Politics is theater. Our chief critic', ' Peter Marks', ' brings his analytical eye to the campaign trail', ' reviewing another of the front-runners as he winds through Iowa.']","[0, 0.9574468085106382, 0.972972972972973, 0, 0.5208333333333333, 0.38461538461538464]"
342,0.8207792207792208,"['Jill Biden', ' This is when I knew Joe needed to run', 'Former Vice President Joe Biden and his wife', ' Jill Biden', "" sit down with CNN's Chris Cuomo to discuss his 2020 presidential run.""]","[0, 0, 0.36363636363636365, 0, 0.45714285714285713]"
343,1.9148035063528024,"['Why Joe Biden is wrong', ""Americans should not seek 'middle ground' with those who support racist"", ' anti-democratic policies.']","[1.1363636363636365, -0.18309859154929575, 0.9615384615384616]"
344,1.44,"['Three Drama Lessons from Joe Biden', ""In yesterday's edition of the Washington Post"", ' their chief drama critic', ' Peter Marks', "" did a video review of Joe Biden's performance as a candidate from a theatrical ...""]","[0, 0, 1.44, 0, 0]"
345,1.496917966684294,"['Joe Biden’s cancer nonprofit suspends operations indefinitely', 'The Biden Cancer Initiative', ' a nonprofit group launched by former vice president Joe Biden', ' announced Monday that it is indefinitely suspending operations.']","[0.5901639344262295, 0, 0.5161290322580645, 0.390625]"
346,-1.714691174483038,"[""Biden promises to end 'forever wars' as president"", 'NEW YORK (AP) — Joe Biden promised on Thursday his White House would end ""forever wars"" and reassert American leadership to combat authoritarianism ...']","[-1.9795918367346936, 0.26490066225165565]"
347,0.11510791366906475,"['Biden and de Blasio square off over Obama-era deportations', 'New York City Mayor Bill de Blasio hammers former Vice President Joe Biden on deportations that took place during the Obama administration.']","[0, 0.11510791366906475]"
348,0.14285714285714285,"['Biden', "" I wasn't prepared for how Harris came at me"", ""Former Vice President Joe Biden speaks to CNN's Chris Cuomo about his performance in the first Democratic debate"", "" saying he wasn't prepared for the way ...""]","[0, 0, 0.14285714285714285, 0]"
349,-0.752212389380531,"['Joe Biden', ' Its time to pick up our heads and remember who in God’s name we are!', 'WATERLOO', "" Iowa — “Can I get a picture with you?” The man with the dazzling smile says “Sure!” and grabs the woman's iPhone"", "" holds it at arm's length"", ' ...']","[0, 0, 0, -0.752212389380531, 0, 0]"
350,1.697106690777577,"['Exclusive', ' Joe Biden on Obamacare and Medicare for All', "" 'Starting over would be"", ' I think', "" a sin'"", 'Joe Biden says he opposes fellow Democratic presidential contenders\' push for a ""Medicare for All"" program because such an overhaul of the nation\'s health ...']","[0, 0, 0, 0, 1.2857142857142858, 0.4113924050632911]"
351,0.3403048564338887,"['Joe Biden’s campaign office opens in Philly with a protest', ' not a party | Clout', 'Former Vice President Joe Biden', ' proud son of Pennsylvania', ' made a pretty big deal about basing his campaign headquarters here in Philadelphia.']","[1.0, 0, 0.5161290322580645, -0.9615384615384616, -0.21428571428571425]"
352,0.0,"['Is Joe Biden 2020’s Jeb Bush?', ""Let's face it. It's not a question you want to hear anyone asking about you.""]","[0, 0]"
353,2.1952459791863768,"[""Biden calls criticism of Obamacare 'a bunch of malarkey'"", ""Former Vice President Joe Biden and NYC Mayor Bill de Blasio get into a heated exchange over healthcare during the second night of CNN's Democratic ...""]","[2.0892857142857144, 0.10596026490066225]"
