,doc_sentiments,documents,zone_sentiments
1098,-1.3293451989326903,"[""‘2020 is a moment we’ve been called to'"", ' Elizabeth Warren rallies Super Tuesday crowd in Cambridge before hea', 'Rallying hundreds of supporters in Cambridge on Super Tuesday', ' U.S. Sen. Elizabeth Warren told voters she is bringing her presidential primary campaign to ...']","[-0.23076923076923078, 0.36231884057971014, -1.7213114754098362, 0.26041666666666663]"
1099,1.0710949662688116,"['The Frustration of Being Elizabeth Warren', 'The night of November 8', ' 2016', ' when Hillary Clinton lost her presidential bid', ' women and girls across America were told that they would need to wait another ...']","[0.3902439024390244, 0, 0, 0.6808510638297872, 0]"
1100,-3.669683257918552,"['Sen. Elizabeth Warren keeps 2020 hopes on the table', 'BOSTON — Sen. Elizabeth Warren launched her presidential campaign with a February 2019 rally in Lawrence', ' attended by throngs of supporters', ' members of ...']","[0, 0.15384615384615385, -3.8235294117647056, 0]"
1101,1.1415632754342433,"['Sen. Elizabeth Warren says her oldest brother died of coronavirus', 'Sen. Elizabeth Warren announced Thursday her oldest brother Donald Reed Herring died after testing positive for coronavirus.']","[0.9076923076923078, 0.23387096774193544]"
1102,-0.9357644697223153,"['Elizabeth Warren Endorses Joe Biden for President', 'Massachusetts Sen. Elizabeth Warren has given former Vice President Joe Biden the third high-profile endorsement this week', ' along with Barack Obama and ...']","[0.32653061224489793, -1.2622950819672132, 0]"
1103,-3.4934921975169653,"['Vice presidential nod towards Elizabeth Warren in 2020 could alter course of Massachusetts politics', 'Sen. Elizabeth Warren launched her presidential campaign with a February 2019 rally in Lawrence', ' attended by throngs of supporters', ' members of Congress ...']","[0.16161616161616163, 0.16842105263157894, -3.8235294117647056, 0]"
1104,0.29357798165137616,"['The Elizabeth Warren of This Recession Is…An Elizabeth Warren Staffer', 'The coronavirus is a rapidly developing news story', ' so some of the *content* in this article might be out of date. Check out our most recent coverage of the ...']","[0, 0.0, 0.29357798165137616]"
1105,1.4214252732030168,"['Sen. Elizabeth Warren Calls For Voting Overhaul ', ' Coronavirus Live Updates', 'The massive set of proposals includes $4 billion in new elections funding', ' 30 days of required early voting and a mail-in ballot to be sent to every registered ...']","[0, 1.0, 0.2191780821917808, 0.20224719101123595]"
1106,1.0977777777777775,"['Elizabeth Warren was made for this moment. Joe Biden should recognize that.', ""There's little doubt the medical and economic catastrophe of the coronavirus pandemic will dominate the presidential race. On Wednesday"", ' Axios published a ...']","[0.12, 0.9777777777777776, 0]"
1107,0.7309202369472383,"['Why Not the Best? Elizabeth Warren for VP.', 'The senator has exactly the temperament—and relevant economic', ' health', ' and anti-corruption policy experience—to help Biden win and govern.']","[0, 0.5901639344262295, -2.2857142857142856, 2.4264705882352944]"
1108,-2.1842105263157894,"['Who Is Elizabeth Warren?', 'Senator Elizabeth Warren is one of the most powerful progressives in the United States. Join Sean Morrow on Who Is', ' The Podcast to hear her story.']","[0, -2.1842105263157894, 0]"
1109,-0.4365951633293914,"['Elizabeth Warren on coronavirus', ' the presidency', ' and the economy', 'In January', ' Sen. Elizabeth Warren was the first presidential candidate to release a plan for combating coronavirus. In March', ' she released a second plan.']","[0.8064516129032258, 0, 0, 0, 0.22123893805309736, -1.4642857142857144]"
1110,-0.17307692307692307,"['Why Joe Biden needs Elizabeth Warren', 'Warren has had a clear mission and vision for years.']","[0, -0.17307692307692307]"
1111,0.992063492063492,"['Elizabeth Warren Just Made Many People Very Happy', 'On Rachel Maddow tonight', ' former Democratic presidential nominee and always liberal heartthrob Senator Elizabeth Warren gave many hearts reasons to ...']","[0, 0.6666666666666666, 0.32539682539682535]"
1112,0.255750273822563,"['Elizabeth Warren Demands Investigations Into Trump’s Shambolic Coronavirus Response', 'In January', ' or 37 lifetimes ago in Trump years', ' Elizabeth Warren released a plan to address the novel coronavirus that had already engulfed China and was ...']","[0.30120481927710846, 0, 0, -0.04545454545454544]"
1113,-0.40382635552505136,"['Elizabeth Warren', ' What Congress Must Do About Coronavirus', 'Congress has passed three coronavirus packages aimed at providing immediate relief to families', ' workers', ' hospitals and small businesses', ' but with more than ...']","[0, 0.625, 0.6808510638297872, -2.0, 0.2903225806451613, 0]"
